,recommend,not_recommend
Plain Dosa,0,-0.1
Vegetable Khichdi (1 plate),0,-0.1
Sprouts Salad (1 bowl),0.1,-0.1
Aloo Paratha (1 pc),0.1,-0.1
1 Plain Roti + Dal Tadka,0,-0.1
Idli with Sambar,0,-0.1
1 Roti + Palak Paneer,0.1,0
Curd Rice,0,-0.1
Oats Porridge with Milk,0.1,0
Poha,0,-0.1
Egg Bhurji + 1 Roti,0.04,0
Paneer Paratha (1 pc),0.04,0
Methi Thepla (2 pc),0.02,0
1 Plain Roti + 1 serving of Dal Tadka,0.04,0
Brown Rice (100g) + Dal Tadka,0.04,0
Basmati Rice (100g) + Dal Tadka,0.04,0
White Rice (100g) + Dal Tadka,0.04,0
1 Plain Roti + Palak Paneer,0.04,0
1 Butter Naan + Dal Tadka,0.04,-0.1
1 Poori + Dal Tadka,0.14,-0.1
1 Butter Naan + Palak Paneer,0.04,0
1 Poori + Rajma,0.02,0
Jeera Rice + Dal Tadka,0.04,-0.1
1 Plain Roti + Butter Chicken,0.04,0
1 Butter Naan + Butter Chicken,0.04,0
1 Poori + Butter Chicken,0.02,0
Vegetable Sandwich (Grilled,0.1,0
2 slices),0.1,0
Sabudana Khichdi (1 bowl),0.1,0
Brown Rice (100g) + Sambar,0,-0.1
Besan Chilla (2 pcs),0.1,0
Jeera Rice + Palak Paneer,0,-0.1
Curd Rice (1 plate),0.1,0
